Open Schools - Independent School Roles and Responsibilities - 4/17/25,,,,
In alphabetical order by role,,,,
(MAKE A COPY BEFORE COMPLETING),,,,
Role,Purpose,Role Holder,Accountabilities,Frequency
,,,Ensures first aid kits are stocked and accessible,Monthly
,,,Schedules fire drills and oversees safety inspections,Ongoing/ Annual
,,,Oversees student behavior and discipline processes,Weekly
,,,,
Student Support Services,"Ensures high-quality, data-informed student services aligned with student needs and diagnoses to support an inclusive learning environment",,"Develops and oversees relationships with any student support services (OT, PT, SSC, Special Educator, nurse, etc.).",Weekly
,,,,
Technology,Ensures the school has the necessary technology to support instructional and operational needs,,"Procures and maintains school technology, including hardware and software",Annual
,,,,
Ways of Working,Ensure adult community is healthy and operating in a teal organizational structure.,,Stewards self-management policies and practices for the school,Weekly
,,,,
WF Network Liaison,Serve as liaison with Wildflower network,,Ensures compliance with the Wildflower membership agreement,Monthly
,,,Participates in pod.,Monthly
,,,Completes The Wildflower Foundation's school survey,Annual
